CV_Sentences;Sentences_CV_clean;CV_Number;Sentence_line;Nb_tokens;%texte_lu;%texte_lu_fin_ligne;Is_alpha;Grammar;Label
Planification et supervision de la stratégie marketing globale sur diverses plateformes.;Planification et supervision de la stratégie marketing globale sur diverses plateformes.;CV_33;3;12;21.65;78.35;[True, True, True, True, True, True, True, True, True, True, True, False];['NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'PUNCT'];0
Spécialiste en mise en œuvre et gestion de projet     ;Spécialiste en mise en œuvre et gestion de projet     ;CV_33;4;10;24.50;75.50;[True, True, True, True, True, True, True, True, True, False];['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'SPACE'];0
Formation Scolaire  Université Paris- Dauphine;Formation Scolaire  Université Paris- Dauphine;CV_33;5;6;26.21;73.79;[True, True, False, True, False, True];['NOUN', 'ADJ', 'SPACE', 'NOUN', 'PROPN', 'PROPN'];0
Paris;Paris;CV_33;6;1;26.50;73.50;[True];['PROPN'];0
Master en communication marketing intégrée  2021  Major de promotion Prix du meilleur mémoire de master Université d'Angers Angers;Master en communication marketing intégrée  2021  Major de promotion Prix du meilleur mémoire de master Université d'Angers Angers;CV_33;7;21;32.48;67.52;[True, True, True, True, True, False, False, False, True, True, True, True, True, True, True, True, True, True, False, True, True];['NOUN', 'ADP', 'NOUN', 'PROPN', 'VERB', 'SPACE', 'NUM', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PROPN'];0
Licence de gestion marketing 2014;Licence de gestion marketing 2014;CV_33;8;5;33.90;66.10;[True, True, True, True, False];['NOUN', 'ADP', 'NOUN', 'PROPN', 'NOUN'];0
Major de promotion;Major de promotion;CV_33;9;3;34.76;65.24;[True, True, True];['NOUN', 'ADP', 'NOUN'];0
Tableau d'honneur  ;Tableau d'honneur  ;CV_33;10;4;35.90;64.10;[True, False, True, False];['NOUN', 'ADP', 'NOUN', 'SPACE'];0
Compétences et savoir-faire  ;Compétences et savoir-faire  ;CV_33;11;6;37.61;62.39;[True, True, True, False, True, False];['NOUN', 'CCONJ', 'NOUN', 'NOUN', 'VERB', 'SPACE'];0
°_ Marketing sur les réseaux sociaux  ;°_ Marketing sur les réseaux sociaux  ;CV_33;12;8;39.89;60.11;[False, False, True, True, True, True, True, False];['NOUN', 'SPACE', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADJ', 'SPACE'];0
°__;°__;CV_33;13;3;40.74;59.26;[False, False, False];['NOUN', 'SPACE', 'SPACE'];0
Compétences en communication interpersonnelle  + Parle couramment l'arabe et bonne connaissance de l'anglais  Expérience Professionnelle  Directrice du marketing  Agence Stratégie Numérique  de mai 2018 à aujourd'hui  Supervision des stratégies de marketing numérique et gestion des opérations quotidiennes de l'agence  Directrice des réseaux sociaux  Cosmétiques Mine éclatante  de décembre 2016 à mai 2018  Collecte et analyse de données pour les produits.  ;Compétences en communication interpersonnelle  + Parle couramment l'arabe et bonne connaissance de l'anglais  Expérience Professionnelle  Directrice du marketing  Agence Stratégie Numérique  de mai 2018 à aujourd'hui  Supervision des stratégies de marketing numérique et gestion des opérations quotidiennes de l'agence  Directrice des réseaux sociaux  Cosmétiques Mine éclatante  de décembre 2016 à mai 2018  Collecte et analyse de données pour les produits.  ;CV_33;14;75;62.11;37.89;[True, True, True, True, False, False, True, True, False, True, True, True, True, True, False, True, False, True, True, False, True, True, True, False, True, True, True, False, True, True, False, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, False, True, True, True, False, True, True, False, True, True, False, False, True, True, True, True, True, True, True, True, False, False];['NOUN', 'ADP', 'NOUN', 'ADJ', 'SPACE', 'ADP', 'NOUN', 'ADV', 'DET', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'SPACE', 'NOUN', 'ADJ', 'SPACE', 'NOUN', 'ADP', 'PROPN', 'SPACE', 'NOUN', 'NOUN', 'PROPN', 'SPACE', 'ADP', 'NOUN', 'NUM', 'ADP', 'ADV', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'SPACE', 'ADJ', 'NOUN', 'ADJ', 'SPACE', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN', 'NUM', 'SPACE', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'SPACE'];0
Gestion des comptes officiels pour l'entreprise sur les réseaux sociaux.;Gestion des comptes officiels pour l'entreprise sur les réseaux sociaux.;CV_33;15;12;65.53;34.47;[True, True, True, True, True, False, True, True, True, True, True, False];['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT'];0
 ; ;CV_33;16;1;65.81;34.19;[False];['SPACE'];0
Responsable de l'équipe de marketing numérique  Stylos, Papier et Cie.  de juillet 2014 à novembre 2016  Planification et mise en œuvre de stratégies de marketing numérique qui ont augmenté le trafic organique du site de 150 %.;Responsable de l'équipe de marketing numérique  Stylos, Papier et Cie.  de juillet 2014 à novembre 2016  Planification et mise en œuvre de stratégies de marketing numérique qui ont augmenté le trafic organique du site de 150 %.;CV_33;17;44;78.35;21.65;[True, True, False, True, True, True, True, False, True, False, True, True, True, False, False, True, True, False, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False];['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'SPACE', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'SPACE', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN', 'NUM', 'SPACE', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT'];0
 ; ;CV_33;18;1;78.63;21.37;[False];['SPACE'];0
Bénévolat et homologation  Directrice du marketing numérique  Fondation pour les enfants de Condorcet de janvier 2016 à août 2019;Bénévolat et homologation  Directrice du marketing numérique  Fondation pour les enfants de Condorcet de janvier 2016 à août 2019;CV_33;19;21;84.62;15.38;[True, True, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False];['NOUN', 'CCONJ', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN', 'NUM'];0
Participation bénévole à la gestion des comptes sur les réseaux sociaux et réalisation  Conduite de ses efforts de marketing numérique.;Participation bénévole à la gestion des comptes sur les réseaux sociaux et réalisation  Conduite de ses efforts de marketing numérique.;CV_33;20;22;90.88;9.12;[True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False];['NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'PUNCT'];0
 ; ;CV_33;21;1;91.17;8.83;[False];['SPACE'];0
BTS de contenu et de marketing par e-mail  École de marketing de Condorcet mars 2015  Programme en ligne pour renforcer mes compétences en création de contenu et marketing.;BTS de contenu et de marketing par e-mail  École de marketing de Condorcet mars 2015  Programme en ligne pour renforcer mes compétences en création de contenu et marketing.;CV_33;22;31;100.00;0.00;[True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False];['NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'PROPN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'NOUN', 'NUM', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'PROPN', 'PUNCT'];0
Carine Maurice  22, rue du Faubourg Saint Honoré  75008 Paris,  01 40 45 65 89;Carine Maurice  22, rue du Faubourg Saint Honoré  75008 Paris,  01 40 45 65 89;CV_34;0;20;6.27;93.73;[True, True, False, False, False, True, True, True, True, True, False, False, True, False, False, False, False, False, False, False];['PROPN', 'PROPN', 'SPACE', 'NUM', 'PUNCT', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'SPACE', 'NUM', 'PROPN', 'PUNCT', 'SPACE', 'NOUN', 'DET', 'DET', 'DET', 'NUM'];1
bonjour@canvasupersite.fr wWww.canvasupersite.fr @canvasupersite.fr  COMPÉTENCES  + Java, HTML;bonjour@canvasupersite.fr wWww.canvasupersite.fr @canvasupersite.fr  COMPÉTENCES  + Java, HTML;CV_34;1;10;9.40;90.60;[False, False, False, False, True, False, False, True, False, True];['NOUN', 'NOUN', 'PROPN', 'SPACE', 'NOUN', 'SPACE', 'ADP', 'PROPN', 'PUNCT', 'ADV'];0
, CSS, jQuery, PHP, serveur SQL  + Travail d'équipe, polyvalence et attention particulière aux détails  + Développement de logiciels et de sites  LANGUES  ° Français (langue maternelle);, CSS, jQuery, PHP, serveur SQL  + Travail d'équipe, polyvalence et attention particulière aux détails  + Développement de logiciels et de sites  LANGUES  ° Français langue maternelle;CV_34;2;38;21.32;78.68;[False, True, False, True, False, True, False, True, True, False, False, True, False, True, False, True, True, True, True, True, True, False, False, True, True, True, True, True, True, False, True, False, False, True, True, True];['PUNCT', 'ADV', 'PUNCT', 'ADV', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'SPACE', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'SPACE', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'SPACE', 'ADJ', 'SPACE', 'NOUN', 'NOUN', 'ADJ', 'ADJ'];0
° Anglais américain (niveau B2) + Espagnol (niveau Bi)     Ingénieure logiciel avec 10 ans d'expérience en applications professionnelles.;° Anglais américain niveau B2 + Espagnol niveau Bi     Ingénieure logiciel avec 10 ans d'expérience en applications professionnelles.;CV_34;3;25;29.15;70.85;[False, True, True, True, False, False, True, True, True, False, True, True, True, False, True, False, True, True, True, True, False];['NOUN', 'PROPN', 'ADJ', 'NOUN', 'NOUN', 'NUM', 'PROPN', 'NOUN', 'ADJ', 'SPACE', 'ADJ', 'VERB', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'];0
 ; ;CV_34;4;1;29.47;70.53;[False];['SPACE'];0
Soucieuse de rejoindre l'entreprise Tech et Cie.;Soucieuse de rejoindre l'entreprise Tech et Cie.;CV_34;5;9;32.29;67.71;[True, True, True, False, True, True, True, True, False];['ADJ', 'ADP', 'VERB', 'DET', 'NOUN', 'PROPN', 'CCONJ', 'NOUN', 'PUNCT'];0
pour construire des solutions prêtes à l'emploi pour ses clients régionaux.;pour construire des solutions prêtes à l'emploi pour ses clients régionaux.;CV_34;6;13;36.36;63.64;[True, True, True, True, True, True, False, True, True, True, True, True, False];['ADP', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT'];0
Qualifiée en élaboration de plans d'action gestion de projets et guide d'utilisation.;Qualifiée en élaboration de plans d'action gestion de projets et guide d'utilisation.;CV_34;7;15;41.07;58.93;[True, True, True, True, True, False, True, True, True, True, True, True, False, True, False];['VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT'];0
 ; ;CV_34;8;1;41.38;58.62;[False];['SPACE'];0
EXPÉRIENCE PROFESSIONNELLE  ;EXPÉRIENCE PROFESSIONNELLE  ;CV_34;9;3;42.32;57.68;[True, True, False];['NOUN', 'PROPN', 'SPACE'];0
Ingénieure logiciel expérimentée  Agence de développement de logiciels Numérix;Ingénieure logiciel expérimentée  Agence de développement de logiciels Numérix;CV_34;10;10;45.45;54.55;[True, True, True, False, True, True, True, True, True, True];['ADJ', 'ADJ', 'VERB', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN'];0
| d'août 2017 à aujourd'hui  Supervise Le développement des applications.;| d'août 2017 à aujourd'hui  Supervise Le développement des applications.;CV_34;11;13;49.53;50.47;[False, False, True, False, True, False, False, True, True, True, True, True, False];['ADP', 'ADP', 'NOUN', 'NUM', 'ADP', 'ADV', 'SPACE', 'NUM', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT'];0
Recherche et développement de nouvelles façons d'améliorer Le processus de développement.;Recherche et développement de nouvelles façons d'améliorer Le processus de développement.;CV_34;12;13;53.61;46.39;[True, True, True, True, True, True, False, True, True, True, True, True, False];['NOUN', 'CCONJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT'];0
 ; ;CV_34;13;1;53.92;46.08;[False];['SPACE'];0
Formation des ingénieurs logiciel débutants.;Formation des ingénieurs logiciel débutants.;CV_34;14;6;55.80;44.20;[True, True, True, True, True, False];['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'PUNCT'];0
 ; ;CV_34;15;1;56.11;43.89;[False];['SPACE'];0
Ingénieure logiciel débutante;Ingénieure logiciel débutante;CV_34;16;3;57.05;42.95;[True, True, True];['ADJ', 'NOUN', 'ADJ'];0
Agence de développement de logiciels Numérix;Agence de développement de logiciels Numérix;CV_34;17;6;58.93;41.07;[True, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN'];0
| de juin 2011 à juin 2017  Développement, installation et configuration des applications internes et de nouvelles applications dans les environnements de test et de production.;| de juin 2011 à juin 2017  Développement, installation et configuration des applications internes et de nouvelles applications dans les environnements de test et de production.;CV_34;18;29;68.03;31.97;[False, True, True, False, True, True, False, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False];['ADP', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN', 'NUM', 'SPACE', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PUNCT'];0
 ; ;CV_34;19;1;68.34;31.66;[False];['SPACE'];0
Stage en génie logiciel chez Solutions Bertrand;Stage en génie logiciel chez Solutions Bertrand;CV_34;20;7;70.53;29.47;[True, True, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PROPN'];0
| de septembre 2010 à mars 2011  Achèvement d'un stage de six mois;| de septembre 2010 à mars 2011  Achèvement d'un stage de six mois;CV_34;21;15;75.24;24.76;[False, True, True, False, True, True, False, False, True, False, True, True, True, True, True];['ADP', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN', 'NUM', 'SPACE', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN'];0
pour l'obtention du Master;pour l'obtention du Master;CV_34;22;5;76.80;23.20;[True, False, True, True, True];['ADP', 'DET', 'NOUN', 'ADP', 'NOUN'];0
.;.;CV_34;23;1;77.12;22.88;[False];['PUNCT'];0
 ; ;CV_34;24;1;77.43;22.57;[False];['SPACE'];0
Développement d'un système d'informations pour les ressources humaines basé sur Le cloud, consolidation des informations concernant Les employés provenant de diverses bases de données et serveurs.;Développement d'un système d'informations pour les ressources humaines basé sur Le cloud, consolidation des informations concernant Les employés provenant de diverses bases de données et serveurs.;CV_34;25;30;86.83;13.17;[True, False, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False];['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT'];0
 ; ;CV_34;26;1;87.15;12.85;[False];['SPACE'];0
FORMATION SCOLAIRE  ;FORMATION SCOLAIRE  ;CV_34;27;3;88.09;11.91;[True, True, False];['NOUN', 'ADJ', 'SPACE'];0
Master en génie;Master en génie;CV_34;28;3;89.03;10.97;[True, True, True];['NOUN', 'ADP', 'NOUN'];0
Logiciel de l'université de Lille, Lille;Logiciel de l'université de Lille, Lille;CV_34;29;8;91.54;8.46;[True, True, False, True, True, True, False, True];['PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'PROPN'];0
| 2014  Chercheuse diplômée à l'Agence de développement de logiciels Numérix  ;| 2014  Chercheuse diplômée à l'Agence de développement de logiciels Numérix  ;CV_34;30;14;95.92;4.08;[False, False, False, True, True, True, False, True, True, True, True, True, True, False];['ADP', 'NOUN', 'SPACE', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'SPACE'];0
Licence pro Métiers du génie logiciel, IUT Metz;Licence pro Métiers du génie logiciel, IUT Metz;CV_34;31;9;98.75;1.25;[True, True, True, True, True, True, False, True, True];['NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PROPN'];0
| 2011;| 2011;CV_34;32;2;99.37;0.63;[False, False];['ADP', 'NOUN'];0
Mention bien;Mention bien;CV_34;33;2;100.00;0.00;[True, True];['NOUN', 'ADV'];0
MARCELLE;MARCELLE;CV_35;0;1;1.75;98.25;[True];['ADJ'];1
EXPÉRIENCE PROFESSIONNELLE;EXPÉRIENCE PROFESSIONNELLE;CV_35;1;2;5.26;94.74;[True, True];['NOUN', 'PROPN'];0
ANDRE  Associée au marketing  UNIL TE;ANDRE  Associée au marketing  UNIL TE;CV_35;2;8;19.30;80.70;[True, False, True, True, True, False, True, True];['PROPN', 'SPACE', 'NOUN', 'ADP', 'PROPN', 'SPACE', 'NOUN', 'NOUN'];1
ME EC TO IIC;ME EC TO IIC;CV_35;3;4;26.32;73.68;[True, True, True, True];['NOUN', 'NOUN', 'NOUN', 'PROPN'];0
D;D;CV_35;4;1;28.07;71.93;[True];['NOUN'];0
FORMATION;FORMATION;CV_35;5;1;29.82;70.18;[True];['NOUN'];0
UNIVERSITAIRE  ;UNIVERSITAIRE  ;CV_35;6;2;33.33;66.67;[True, False];['NOUN', 'SPACE'];0
DUO ENT OT IUT;DUO ENT OT IUT;CV_35;7;4;40.35;59.65;[True, True, True, True];['PROPN', 'PROPN', 'NUM', 'NOUN'];0
EEE;EEE;CV_35;8;1;42.11;57.89;[True];['NOUN'];0
ICT stratégies et de campagnes publicitaires efficaces.  RÉALISATIONS  COORDONNÉES :;ICT stratégies et de campagnes publicitaires efficaces.  RÉALISATIONS  COORDONNÉES :;CV_35;9;13;64.91;35.09;[True, True, True, True, True, True, True, False, False, True, False, True, False];['X', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'PUNCT', 'SPACE', 'NOUN', 'SPACE', 'NOUN', 'PUNCT'];0
COMPÉTENCES ET SAVOIR;COMPÉTENCES ET SAVOIR;CV_35;10;3;70.18;29.82;[True, True, True];['NOUN', 'CCONJ', 'NOUN'];0
#NOM?;#NOM?;CV_35;11;4;77.19;22.81;[False, False, True];['PUNCT', 'SPACE', 'PROPN'];0
EEE EUR UTC;EEE EUR UTC;CV_35;12;3;82.46;17.54;[True, True, True];['NOUN', 'NOUN', 'VERB'];0
ELITE;ELITE;CV_35;13;1;84.21;15.79;[True];['NOUN'];0
As;As;CV_35;14;1;85.96;14.04;[True];['PROPN'];0
ASTUCE;ASTUCE;CV_35;15;1;87.72;12.28;[True];['PROPN'];0
1 Site web : sitevraimentsuper.fr PROD;1 Site web : sitevraimentsuper.fr PROD;CV_35;16;6;98.25;1.75;[False, True, True, False, False, True];['NUM', 'NOUN', 'PROPN', 'PUNCT', 'NOUN', 'ADJ'];0
AUS;AUS;CV_35;17;1;100.00;0.00;[True];['PROPN'];0
Julien Baupin  INGÉNIEUR;Julien Baupin  INGÉNIEUR;CV_36;0;4;1.23;98.77;[True, True, False, True];['PROPN', 'PROPN', 'SPACE', 'ADV'];1
LOGICIEL     ;LOGICIEL     ;CV_36;1;2;1.84;98.16;[True, False];['PROPN', 'SPACE'];0
PROFIL PERSONNEL     Diplômé de l'Institut de technologie et d'informatique, je suis spécialisé dans le débogage, la conception et les tests de logiciels.;PROFIL PERSONNEL     Diplômé de l'Institut de technologie et d'informatique, je suis spécialisé dans le débogage, la conception et les tests de logiciels.;CV_36;2;28;10.43;89.57;[True, True, False, True, True, False, True, True, True, True, False, True, False, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False];['NOUN', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT'];0
J'aime travailler en équipe et suis capable d'apprendre et d'appliquer rapidement de nouvelles technologies.  ACCOMPLISSEMENTS     Diplômé avec mention très bien  Prix du volontariat  Reconnu pour une présence assidue Premier prix à l'exposition annuelle de  programmation  COORDONNÉES     & 0112131415 01 44 55 66 77  bonjour@sitevraimentsuper.fr À 6, place Fernand Lafargue, 33000 Bordeaux EF) @sitevraimentsuper  COMPÉTENCES ET QUALIFICATIONS     Raisonnement logique et résolution de problèmes  Débogage de logiciels  Programmation informatique  Codage  Bonne communication orale et écrite        FORMATION  Développement de logiciels ME  École supérieure de Condorcet / 2018;J'aime travailler en équipe et suis capable d'apprendre et d'appliquer rapidement de nouvelles technologies.  ACCOMPLISSEMENTS     Diplômé avec mention très bien  Prix du volontariat  Reconnu pour une présence assidue Premier prix à l'exposition annuelle de  programmation  COORDONNÉES     & 0112131415 01 44 55 66 77  bonjour@sitevraimentsuper.fr À 6, place Fernand Lafargue, 33000 Bordeaux EF @sitevraimentsuper  COMPÉTENCES ET QUALIFICATIONS     Raisonnement logique et résolution de problèmes  Débogage de logiciels  Programmation informatique  Codage  Bonne communication orale et écrite        FORMATION  Développement de logiciels ME  École supérieure de Condorcet / 2018;CV_36;3;109;43.87;56.13;[False, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, False, False, True, False, True, True, True, True, True, False, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, False, True, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, True, True, True, False, False, True, True, False, False, True, True, True, False, True, True, True, True, True, True, False, True, True, True, False, True, True, False, True, False, True, True, True, True, True, False, True, False, True, True, True, True, False, True, True, True, True, False, False];['PRON', 'VERB', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'AUX', 'ADJ', 'ADP', 'VERB', 'CCONJ', 'ADP', 'VERB', 'ADV', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'SPACE', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADV', 'ADV', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'SPACE', 'NOUN', 'SPACE', 'NOUN', 'SPACE', 'CCONJ', 'NUM', 'NOUN', 'DET', 'DET', 'DET', 'DET', 'SPACE', 'NOUN', 'ADP', 'NUM', 'PUNCT', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'NUM', 'PROPN', 'PROPN', 'ADV', 'SPACE', 'NOUN', 'CCONJ', 'NOUN', 'SPACE', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'ADJ', 'SPACE', 'NOUN', 'SPACE', 'ADJ', 'NOUN', 'ADJ', 'CCONJ', 'VERB', 'SPACE', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'SPACE', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'ADP', 'NUM'];0
- 2020 Développement de solutions logicielles pour le département d'ingénierie  Reconnu pour la mise en œuvre d'un nouveau processus de mise à  jour qui a amélioré la charge de la base de données de l'école  Licence en Ingénierie informatique  �;- 2020 Développement de solutions logicielles pour le département d'ingénierie  Reconnu pour la mise en œuvre d'un nouveau processus de mise à  jour qui a amélioré la charge de la base de données de l'école  Licence en Ingénierie informatique  �;CV_36;4;52;59.82;40.18;[False, False, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, False, True, True, True, True, False, False];['PUNCT', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'SPACE', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'ADP', 'NOUN'];0
- 2018 Excellence académique  ;- 2018 Excellence académique  ;CV_36;5;5;61.35;38.65;[False, False, True, True, False];['PUNCT', 'NUM', 'NOUN', 'ADJ', 'SPACE'];0
Prix de l'innovation en technologie  Prix du bénévolat pour l'exposition annuelle de l'école  ;Prix de l'innovation en technologie  Prix du bénévolat pour l'exposition annuelle de l'école  ;CV_36;6;18;66.87;33.13;[True, True, False, True, True, True, False, True, True, True, True, False, True, True, True, False, True, False];['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'SPACE'];0
ACTIVITÉS EXTRASCOLAIRES  ;ACTIVITÉS EXTRASCOLAIRES  ;CV_36;7;3;67.79;32.21;[True, True, False];['NOUN', 'NOUN', 'SPACE'];0
